site_id,cell_id,cosine_similarity,months_used,selector_rmse_no_tl,selector_rmse_always_tl,calibration_margin_no_tl_vs_always_tl,selected_expert,selected_parent,use_transfer,selected_selector_rmse,selector_policy,selector_margin_threshold,selector_overlap_threshold_months
66050,75352,0.26864251,130,0.6444249,0.55900496,-0.08541995,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.55900496,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
66076,12080,0.3020251,138,1.3852875,1.37474,-0.010547519,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.37474,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
66083,81796,0.35507497,141,0.717399,0.59483445,-0.122564554,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.59483445,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
66092,49577,0.4257012,132,0.20533627,0.14660244,-0.058733836,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.14660244,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
66098,56721,0.34119222,135,0.28897724,0.3615463,0.07256907,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.28897724,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
66105,81796,0.35874352,139,0.5815595,0.5472099,-0.03434956,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.5472099,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
66118,56721,0.40010756,141,0.79494214,0.77864504,-0.016297102,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.77864504,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
66121,67575,0.33872968,137,0.6397596,0.5949716,-0.044788003,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.5949716,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
66126,67575,0.33727232,137,0.5348162,0.5304521,-0.004364133,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.5304521,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
66132,12080,0.26068172,142,1.1829078,1.132399,-0.050508857,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,1.132399,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
66134,81796,0.38336205,142,0.64318013,0.66877913,0.025599003,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.64318013,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
66155,77981,0.39005423,142,0.52545905,0.4936579,-0.031801164,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.4936579,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
66156,81796,0.39197043,142,0.6446,0.627611,-0.016988993,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.627611,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
66199,67575,0.33339292,138,0.9525743,0.80199754,-0.15057677,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.80199754,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
66216,56721,0.3639096,140,0.35827872,0.3402374,-0.018041313,Deep Context LSTM (Always TL),Deep Context LSTM (Always TL),True,0.3402374,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
66222,54194,0.46093792,134,0.26210204,0.29419893,0.032096893,Deep Context LSTM (No TL),Deep Context LSTM (No TL),False,0.26210204,cal_margin_gt_0.02_and_overlap_ge_72_default_always_tl,0.02,72
